bin_size,bins_amount,bin_variance,bin_std
1,1000000,0.0,0.0
2,500000,0.8480411599998906,0.9208915028383586
3,333334,1.3064597070801938,1.143004683752518
4,250000,1.6181965000000227,1.2720835271317772
5,200000,1.852600239999972,1.3611025824676009
6,166667,2.040498845668969,1.4284603059479704
8,125000,2.31196811000002,1.5205157381625551
10,100000,2.5019479200000223,1.5817546965316784
13,76924,2.691413635344102,1.6405528444229105
16,62500,2.829651840000033,1.6821569011242776
20,50000,2.9509595840000156,1.7178357267212763
25,40000,3.0568857824,1.748395202006686
32,31250,3.146372485000022,1.773801703968068
40,25000,3.2162010260000033,1.7933769893694977
50,20000,3.2748356736000006,1.8096507048599186
63,15874,3.320657283692868,1.8222670725480576
79,12659,3.3578822221692795,1.8324525156656255
100,10000,3.3898315239999968,1.8411495115823693
126,7937,3.4150229907047165,1.847978081770646
158,6330,3.434353234997802,1.8532008080609619
200,5000,3.4499036619999948,1.857391628601786
251,3985,3.4635668899376193,1.8610660627547908
316,3165,3.473736890289692,1.863796365027492
398,2513,3.481522981725674,1.8658839679159243
501,1997,3.4861411742834867,1.8671210925602781
631,1585,3.4923659017768607,1.868787281039996
794,1260,3.4970270566543245,1.8700339720588834
1000,1000,3.499602553040001,1.8707224682031274
1259,795,3.5027114316873065,1.871553213693724
1585,631,3.5043244098368804,1.871984083756291
1995,502,3.5074475744187588,1.8728180836426047
2512,399,3.5085046719432267,1.8731002834720907
3162,317,3.5093898267518173,1.873336549248911
3981,252,3.5110711486404944,1.8737852461369457
5012,200,3.51010921932043,1.8735285477730064
6310,159,3.510702903997804,1.8736869813279389
7943,126,3.5104962021969577,1.873631821409147
10000,100,3.5105755105999936,1.8736529856406159
12589,80,3.5123099036004413,1.8741157657947498
15849,64,3.5191892246482626,1.8759502191284987
19953,51,3.517021344019365,1.875372321438963
25119,40,3.511747607840678,1.873965743507783
31623,32,3.5125832322003894,1.874188686392165
39811,26,3.5161461987750067,1.8751389811891295
50119,20,3.5115934524782233,1.8739246122718554
63096,16,3.511865612775276,1.873997228593275
79433,13,3.512891326816428,1.874270878719623
100000,10,3.5116347657893536,1.8739356354446526
125892,8,3.5118083523736394,1.8739819509199227
158489,7,3.516615419022583,1.875264093140639
199526,6,3.5630654550603773,1.8876083955790135
251188,4,3.511680165692842,1.8739477489228034
398107,3,3.5114116020145083,1.8738760903577665
501187,2,3.5117267585253185,1.87396018061359
1000000,1,3.511762019076706,1.8739695886210923
