binning_step,variance,std,error
0,3.504927814539524,1.8721452439753503,0.0005920243377625907
1,2.659932112211332,1.6309298305602642,0.0007293740664704032
2,1.8910859166266343,1.3751675958320986,0.0008697325274039837
3,1.2042594305967353,1.097387548041591,0.000981533654646666
4,0.6855164800158127,0.827959226058755,0.0010472956234751948
5,0.3657335172866551,0.604759057217546,0.0010818276204832716
6,0.18864624690036885,0.4343342571112355,0.0010987919307867556
7,0.09563807035668295,0.30925405471340706,0.0011064280230125949
8,0.0480808820136447,0.2192735324056342,0.0011094673707660904
9,0.02426709894273293,0.15577900674588002,0.001114699506318742
10,0.012159019005595828,0.11026794187612203,0.0011159259664314215
11,0.006104143975582082,0.0781290213402298,0.0011182991130668145
12,0.0031475128962900325,0.05610269954547671,0.0011357659537766618
13,0.0015382551495932944,0.0392205959872271,0.0011233428774595244
14,0.0007578903851963096,0.02752980902941954,0.0011155641582297922
15,0.00037731626211497614,0.019424630295451602,0.0011140789535988439
16,0.00019438655674327781,0.013942257949961971,0.0011346048608889497
17,0.00008650429525592379,0.009300768530391657,0.0010739602429384045
18,0.000047924841626959826,0.006922777016989629,0.0011380975309338973
19,0.000019825074581051127,0.004452535747307497,0.0010494727401322145
20,6.634276858474614e-6,0.002575709001124664,0.0009106506505292392
21,4.263761720722207e-6,0.0020648878227938214,0.001192163540336393
22,4.1020082608153825e-6,0.0020253415170818434,0.0020253415170818434
23,NaN,NaN,NaN
